adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
Perak,2022,13018.47802400000243217
Perlis,2022,190.03164328417006026
Pulau Pinang,2022,280.31556712827985104
Putrajaya,2022,14.90632633709541384
Sabah,2022,64220.83537122169063395
Sarawak,2022,75323.39773912766388734
Selangor,2022,3865.52607913513872291
Terengganu,2022,11949.75617597061784985
Johor,2023,24700.85008893200531809
Kedah,2023,7387.76017086649619371
Kelantan,2023,22405.89724935533492549
Kuala Lumpur,2023,12.29100695939371968
Labuan,2023,36.16004948155193320
Melaka,2023,1987.99953678503902894
Negeri Sembilan,2023,5853.84946537110447294
Pahang,2023,44907.27315330855475230
Perak,2023,17571.76318724612152090
Perlis,2023,217.77418458012102779
Pulau Pinang,2023,895.06740034481982517
Putrajaya,2023,22.43627009086548696
Sabah,2023,81566.63518220113476035
Sarawak,2023,85124.47150448473189627
Selangor,2023,5656.69494855606917175
Terengganu,2023,10308.62165879525871557
Johor,2024,19268.09353483559840676
Kedah,2024,6900.52827734236419663
Kelantan,2024,19724.69395245005548298
Kuala Lumpur,2024,15.44072424075128340
Labuan,2024,19.38209270641086969
Melaka,2024,2102.77821752120821593
Negeri Sembilan,2024,5846.59267454727687468
Pahang,2024,38447.90095535902067577
Perak,2024,14915.03829602764716175
Perlis,2024,267.08109164053753456
Pulau Pinang,2024,385.25174885795054457
Putrajaya,2024,18.05656650688489399
Sabah,2024,75671.40734272882926841
Sarawak,2024,79341.30977556792895124
Selangor,2024,4768.74963671716130478
Terengganu,2024,14841.27614501515194285
Johor,2025,19540.05448777431959367
Kedah,2025,6671.60288820945198812
Kelantan,2025,17487.71536598091615872
Kuala Lumpur,2025,19.28165026183363577
Labuan,2025,29.87810269435059166
Melaka,2025,1988.26290375598958411
Negeri Sembilan,2025,5488.04800256234547713
Pahang,2025,33968.50889858244260544
Perak,2025,14637.65001894327106412
Perlis,2025,193.32390695746298359
Pulau Pinang,2025,472.35749610842914178
Putrajaya,2025,17.59537269190388890
Sabah,2025,62369.40847314347343875
Sarawak,2025,85875.70308301124895498
Selangor,2025,4527.56722680256563526
Terengganu,2025,9966.97194095963202715
